Stadium,Capacity,City_State,Country,Region,Tenants,Sports,Image,Location
Olympiastadion,63118,Munich,Germany,Europe,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(48.1371079, 11.5753822)"
Oaklandalameda County Coliseum,63026,"Oakland, California",United States,North America,Oakland Athletics,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.8044557, -122.271356)"
Kenan Memorial Stadium,62980,"Chapel Hill, North Carolina",United States,North America,North Carolina Tar Heels Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.906943150000004, -79.04781990822377)"
Tottenham Hotspur Stadium,62850,London,United Kingdom,Europe,Tottenham Hotspur Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(51.604157, -0.0662604100000004)"
Ellis Park Stadium,62567,Johannesburg,South Africa,Africa,"Golden Lions,Lions,Orlando Pirates Fc","Rugby Union, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-26.197478850000003, 28.06076823792536)"
Rossade Stadium,62500,"West Lafayette, Indiana",United States,North America,Purdue Boilermakers Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(40.4258686, -86.9080655)"
Lucas Oil Stadium,62421,Indianapolis,United States,North America,"Indianapolis Colts,Indy Eleven, Occasional Ncaa Mens Basketball Events","American Football, Association Football, Basketball",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(39.7590621, -86.16383761053042)"
Veltins-Arena,62271,Gelsenkirchen,Germany,Europe,Fc Schalke 04,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(51.55459375, 7.06760006899412)"
Commanders Field,62000,"Landover, Maryland",United States,North America,Washington Commanders,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(38.9077002, -76.86332608690218)"
Shanxi Sports Centre Stadium,62000,"Taiyuan,Shanxi",China,East Asia,,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.757319100000004, 112.52980709952496)"
Faurot Field,61620,"Columbia, Missouri",United States,North America,Missouri Tigers Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(38.93583715, -92.333207)"
Jack Trice Stadium,61500,"Ames, Iowa",United States,North America,Iowa State Cyclones Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(42.0138183, -93.63496890586613)"
Scott Stadium,61500,"Charlottesville, Virginia",United States,North America,Virginia Cavaliers Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(38.0309252, -78.5136104402374)"
Soldier Field,61500,Chicago,United States,North America,Chicago Bears,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.8623356, -87.61764770075143)"
Yale Bowl,61446,"New Haven, Connecticut",United States,North America,Yale Bulldogs Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.3132194, -72.96044784995362)"
Anfield,61276,Liverpool,United Kingdom,Europe,Liverpool,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(53.43091645, -2.9609313526360888)"
Optus Stadium,61266,Perth,Australia,Oceania,"Fremantle Dockers,West Coast Eagles,Australia Wallabies,Perth Scorchers,Australia National Cricket Team,Western Australia Cricket Team","Australian Rules Football,Rugby Union,Cricket",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-31.9510448, 115.88907562766687)"
Dalian Sports Center Stadium,61000,"Dalian,Liaoning",China,East Asia,,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(38.9181714, 121.6282945)"
Cardinal Stadium,61000,"Louisville, Kentucky",United States,North America,Louisville Cardinals Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(38.206016149999996, -85.75877338041424)"
Kroger Field,61000,"Lexington, Kentucky",United States,North America,Kentucky Wildcats Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(38.02273485, -84.50511922326672)"
Benito Villamarín,60721,Seville,Spain,Europe,Real Betis,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.356535449999996, -5.981756556248882)"
Emirates Stadium,60704,London,United Kingdom,Europe,Arsenal,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(51.55504035, -0.1083996708672374)"
Memorial Stadium,60670,"Champaign, Illinois",United States,North America,Illinois Fighting Illini Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(40.1164841, -88.2430932)"
Mhparena,60649,Stuttgart,Germany,Europe,Vfb Stuttgart,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(48.8911701, 9.18242015717697)"
Xiamen Egret Stadium,60592,Xiamen,China,East Asia,,"Athletics, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(24.4801069, 118.0853479)"
Grêmio Arena,60540,Porto Alegre,Brazil,South America,Grêmio Fbpa,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-29.974042949999998, -51.195107349371696)"
Mississippi Veterans Memorial Stadium,60492,"Jackson, Mississippi",United States,North America,Jackson State Tigers,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(32.329669550000006, -90.17904200242444)"
Jones Att Stadium,60454,"Lubbock, Texas",United States,North America,Texas Tech Red Raiders Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(33.5855677, -101.8470215)"
Celtic Park,60411,Glasgow,United Kingdom,Europe,Celtic Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(55.85018145, -4.2068226877121955)"
Estadio Monumental Virgen De Chapi,60370,Arequipa,Peru,South America,"Fbc Melgar,Club Idunsa",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-16.4073043, -71.52046853862656)"
Shenzhen Universiade Sports Centre,60334,Shenzhen,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(22.69854985, 114.21107659843355)"
Davis Wade Stadium,60311,"Starkville, Mississippi",United States,North America,Mississippi State Bulldogs Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(33.4564527, -88.79340364607509)"
Jawaharlal Nehru Stadium,60254,Delhi,India,South Asia,"India National Football Team,Punjab Fc","Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(28.58337705, 77.23354040287734)"
Centenario Stadium,60235,Montevideo,Uruguay,South America,"Uruguay National Football Team,Club Nacional De Football,Club Atlético Peñarol",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-34.89453925, -56.15268409413207)"
Boone Pickens Stadium,60218,"Stillwater, Oklahoma",United States,North America,Oklahoma State Cowboys Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.1256929, -97.06686984320964)"
Stade Municipal De Kintélé,60055,Brazzaville,Congo,Africa,Congo National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-4.15458115, 15.324130089195897)"
Estádio Do Arruda,60044,Recife,Brazil,South America,Santa Cruz Futebol Clube,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-8.0268093, -34.8911966744522)"
Alassane Ouattara Stadium,60012,Abidjan,Ivory Coast,Africa,Ivory Coast National Football Team,"Association Football, Rugby, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(5.4808252, -4.074566613890324)"
Morodok Techo National Stadium,60000,Phnom Penh,Cambodia,South East Asia,Cambodia National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(11.68297715, 104.87630782752696)"
Olembe Stadium,60000,Yaoundé,Cameroon,Africa,Cameroon National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(3.8689867, 11.5213344)"
Bahir Dar Stadium,60000,Bahir Dar,Ethiopia,Africa,"Ethiopia National Football Team,Bahir Dar Kenema Fc",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(11.5846137, 37.382921090607596)"
Tigray Stadium,60000,Mekelle,Ethiopia,Africa,"Mekelle City,Shire Endaselassie Fc,Dedebit Fc",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(13.4959724, 39.4577919)"
Jaber Al-Ahmad International Stadium,60000,Kuwait City,Kuwait,Western Asia,Kuwait National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(29.27146495, 47.91877550267482)"
Milan Puskar Stadium,60000,"Morgantown, West Virginia",United States,North America,West Virginia Mountaineers Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(39.650184249999995, -79.95498766705104)"
National Heroes Stadium,60000,Lusaka,Zambia,Africa,Zambia National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-15.369506699999999, 28.27374202223445)"
Moshood Abiola National Stadium,60000,Abuja,Nigeria,Africa,Nigeria National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(9.0380149, 7.453425925796589)"
Benjamin Mkapa Stadium,60000,Dar Es Salaam,Tanzania,Africa,"Tanzania National Football Team,Simba Sc,Young Africans",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-6.8535746500000005, 39.273293473702665)"
Shenyang Olympic Sports Center Stadium,60000,"Shenyang,Liaoning",China,East Asia,,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.8026095, 123.4279105)"
Stade Léopold Sédar Senghor,60000,Dakar,Senegal,Africa,"Senegal National Football Team,Asc Jeanne Darc",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(14.74677165, -17.451914038718378)"
Nanjing Olympic Sports Center,60000,"Nanjing,Jiangsu",China,East Asia,,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(32.0438284, 118.7788631)"
National Sports Stadium,60000,Harare,Zimbabwe,Africa,Zimbabwe National Football Team,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-17.821414949999998, 30.99507351306328)"
Odi Stadium,60000,Mabopane,South Africa,Africa,Garankuwa United,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-25.5216914, 28.040565090974667)"
Tianhe Stadium,60000,"Guangzhou,Guangdong",China,East Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(23.1405033, 113.3193596628767)"
Ordos Sports Centre Stadium,60000,Ordos,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(39.6372004, 109.81829876639486)"
Hefei Olympic Sports Center Stadium,60000,"Hefei,Anhui",China,East Asia,Local Football Teams,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(31.8665676, 117.281428)"
Guangxi Sports Center Stadium,60000,"Nanning,Guangxi",China,East Asia,Local Football Teams,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(22.8193063, 108.3627211)"
Haixia Olympic Center Stadium,59562,Fuzhou,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(27.9511188, 116.3530413)"
Simmons Bank Liberty Stadium,59308,"Memphis, Tennessee",United States,North America,Memphis Tigers Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.12113045, -89.97741528770362)"
Estadio Monumental Isidro Romero Carbo,59283,Guayaquil,Ecuador,South America,Barcelona Sporting Club,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-2.1858223499999996, -79.92497004648283)"
Parc Olympique Lyonnais,59186,Décines-Charpieu,France,Europe,Olympique Lyonnais,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(45.7653624, 4.9820543110736715)"
Chongqing Olympic Sports Center,58680,Chongqing,China,East Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(29.526961149999998, 106.50185633776655)"
Pge Stadion Narodowy,58580,Warsaw,Poland,Europe,Poland National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(52.2399367, 21.045287703666446)"
King Fahd International Stadium,58398,Riyadh,Saudi Arabia,Western Asia,"Al Nasr,Al-Hilal",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(24.7885806, 46.83914486009958)"
Stadio San Nicola,58248,Bari,Italy,Europe,As Bari,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.0847276, 16.840084897844584)"
Waldstadion,58000,Frankfurt,Germany,Europe,Eintracht Frankfurt,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(50.068610250000006, 8.645415384241646)"
Castelão,57876,Fortaleza,Brazil,South America,"Ceará,Fortaleza",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-3.80674195, -38.52167940726448)"
Arizona Stadium,57803,"Tucson, Arizona",United States,North America,Arizona Wildcats Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(32.2288359, -110.94877964287623)"
Estadio De La Cartuja,57619,Seville,Spain,Europe,Spain National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.41723525, -6.004613361716357)"
Carterfinley Stadium,57583,"Raleigh, North Carolina",United States,North America,Nc State Wolfpack Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.7803977, -78.6390989)"
Cape Town Stadium,57367,Cape Town,South Africa,Africa,"Cape Town City Fc 2016,Western Province Rugby Union,Stormers","Association Football, Rugby Union",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-33.903460100000004, 18.411145824940803)"
La Bombonera,57200,Buenos Aires,Argentina,South America,Boca Juniors,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-34.63551715, -58.364916326853375)"
Volksparkstadion,57030,Hamburg,Germany,Europe,Hamburger Sv,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(53.5871535, 9.898705553686273)"
Estadio Mario Alberto Kempes,57000,Córdoba,Argentina,South America,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-31.368846849999997, -64.24614507921008)"
Jinan Olympic Sports Center Stadium,56808,"Jinan,Shandong",China,East Asia,Shandong Taishan,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.6705337, 116.985375)"
Estadio Jalisco,56713,Guadalajara,Mexico,North America,"Club Atlas,Leones Negros Udeg",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(20.70477005, -103.32768461889556)"
Commonwealth Stadium,56302,Edmonton,Canada,North America,Edmonton Elks,"Canadian Football, Association Football,Rugby Union, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(53.55970035, -113.47764750194395)"
Olympic Stadium,56040,Montreal,Canada,North America,"Montreal Alouettes,Cf Montréal","Canadian Football, Baseball, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(45.55779835, -73.55164580516643)"
Dodger Stadium,56000,Los Angeles,United States,North America,Los Angeles Dodgers,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(34.0736263, -118.23897581574036)"
19 May 1956 Stadium,56000,Annaba,Algeria,Africa,Usm Annaba,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.8982165, 7.7549272)"
Johan Cruyff Arena,55445,Amsterdam,Netherlands,Europe,Ajax,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(52.3730796, 4.8924534)"
Estadio Rodrigo Paz Delgado,55400,Quito,Ecuador,South America,Liga Deportiva Universitaria,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-0.1077231, -78.48907681031837)"
Silesian Stadium,55211,Chorzów,Poland,Europe,"Poland National Football Team,Ruch Chorzów","Association Football,Speedway, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(50.28824565, 18.973499319484034)"
City Of Manchester Stadium,55097,Manchester,United Kingdom,Europe,Manchester City Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(53.48309105, -2.2002520023433307)"
Arena Națională,55000,Bucharest,Romania,Europe,"Romania National Football Team,Fcsb",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(44.439534, 26.1503626)"
Singapore National Stadium,55000,Singapore,Singapore,Southeast Asia,Singapore National Football Team,"Association Football,Rugby,Cricket, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(1.3020909, 103.8763295)"
Bobby Dodd Stadium,55000,Atlanta,United States,North America,Georgia Tech Yellow Jackets Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(33.772476, -84.39295889500981)"
Estadio Latinoamericano,55000,Havana,Cuba,South America,"Industriales,Metropolitanos",Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(23.11848705, -82.37601333250288)"
Helong Sports Center Stadium,55000,"Changsha,Hunan",China,East Asia,Hunan Billows Fchunan Xiangtao,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(28.1450774, 113.2384362)"
Semple Stadium,55000,Thurles,Ireland,Europe,Tipperary Gaa,"Hurling,Gaelic Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(52.6820189, -7.825947260335124)"
National Stadium,55000,Kaohsiung,Taiwan,East Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(22.70285345, 120.29363310033875)"
Plovdiv Stadium,55000,Plovdiv,Bulgaria,Europe,Junior Football Teams,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(42.14970905, 24.7198409279892)"
Stadio Diego Armando Maradona,54726,Naples,Italy,Europe,Napoli,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(40.82797725, 14.192888963935296)"
Tianjin Olympic Centre Stadium,54696,Tianjin,China,East Asia,Tianjin Jinmen Tiger,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(39.07361905, 117.16945803889524)"
Esprit Arena,54600,Düsseldorf,Germany,Europe,Fortuna Düsseldorf,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(51.261629049999996, 6.73315161013141)"
Estadi Olímpic Lluís Companys,54367,Barcelona,Spain,Europe,Fc Barcelona,"Athletics, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.36472, 2.155645096956145)"
Bc Place,54320,Vancouver,Canada,North America,"Bc Lions,Vancouver Whitecaps Fc","Canadian Football, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(49.2766905, -123.1120061895052)"
Yankee Stadium,54251,New York City,United States,North America,"New York Yankees,New York City Fc","Baseball, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(40.82958275, -73.92652118491901)"
Hrazdan Stadium,54208,Yerevan,Armenia,Western Asia,Armenia National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(40.18036705, 44.494672292188596)"
War Memorial Stadium,54120,"Little Rock, Arkansas",United States,North America,Arkansas Razorbacks Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(34.7498294, -92.3301284742888)"
Borussia-Park,54067,Mönchengladbach,Germany,Europe,Borussia Mönchengladbach,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(51.174624949999995, 6.385409367871812)"
Rogers Centre,39150,Toronto,Canada,North America,Toronto Blue Jays,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(43.641659849999996, -79.38919761915824)"
Moses Mabhida Stadium,54000,Durban,South Africa,Africa,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-29.8290201, 31.03137408601279)"
Autzen Stadium,54000,"Eugene, Oregon",United States,North America,Oregon Ducks Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(44.058217799999994, -123.0684379319035)"
Busan Asiad Stadium,53864,Busan,South Korea,East Asia,Busan Ipark,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.1900767, 129.05954814285263)"
Folsom Field,53750,"Boulder, Colorado",United States,North America,Colorado Buffaloes Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(40.009388799999996, -105.2660794290957)"
Estadio Único Diego Armando Maradona,53600,La Plata,Argentina,South America,"Club De Gimnasia Y Esgrima La Plata,Estudiantes De La Plata",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-34.913840750000006, -57.989047624769114)"
Mountain America Stadium,53599,"Tempe, Arizona",United States,North America,Arizona State Sun Devils Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(33.42630945, -111.9326590178045)"
Adelaide Oval,53500,Adelaide,Australia,Oceania,"Australia National Cricket Team,Southern Redbacks,Adelaide Strikers,Adelaide Crows,Port Adelaide Football Club","Cricket,Australian Rules Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-34.9155596, 138.59627721943045)"
Estadio Bbva,53460,Monterrey,Mexico,North America,Cf Monterrey,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(25.669110250000003, -100.24435594300363)"
Estadio Cuscatlán,53400,San Salvador,El Salvador,North America,"Alianza Fc,El Salvador National Football Team",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(13.6811225, -89.22233144858194)"
Marvel Stadium,53359,Melbourne,Australia,Oceania,"Western Bulldogs,St Kilda Fc,Carlton Football Club,Essendon Football Club,North Melbourne Football Club,Melbourne Renegades","Australian Rules Football,Cricket, Association Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-37.816529, 144.94751697668812)"
Estádio Parque Do Sabiá,53350,Uberlândia,Brazil,South America,Uberlândia Esporte Clube,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-18.91308715, -48.23299421460425)"
San Mamés,53332,Bilbao,Spain,Europe,Athletic Bilbao,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(43.26420400000001, -2.94939145292929)"
Boris Paichadze Stadium,53279,Tbilisi,Georgia,Western Asia,"Fc Dinamo Tbilisi,Georgia National Football Team,Georgia National Rugby Union Team","Association Football,Rugby Union",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.6934591, 44.8014495)"
Aleppo International Stadium,53200,Aleppo,Syria,Western Asia,Al-Ittihad,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.1849318, 37.11764183655198)"
National Stadium Of Peru,53086,Lima,Peru,South America,Peru National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-12.0621065, -77.0365256)"
Memorial Stadium,52692,"Bloomington, Indiana",United States,North America,Indiana Hoosiers Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(39.1670396, -86.5342881)"
